url,status,error,files_count
https://contentcenter-vali-drcn.dbankcdn.cn/pvt_2/DeveloperAlliance_scene_100_1/d7/v3/N5vmtp57SrGnFEMMEFRllg/zh-cn_image_0000002274983545.jpg?HW-CC-KV=V1&HW-CC-Date=20260530T015859Z&HW-CC-Expire=86400&HW-CC-Sign=AC5CC5B508EACB593E58B781D6FBA4F4B44903E7081D6413E84B396E97D78E73,403,,1
https://ads.huawei.com/usermgtportal/home/index.html#/agent,200,,5
https://ads.huawei.com,403,,21
https://smartrobot-drcn.platform.dbankcloud.cn/?appId=31001,200,,4
https://developer.huawei.com/consumer/cn/support/feedback/#/,403,,133
https://developer.huawei.com/consumer/cn/doc/promotion/register-0000001052264353#ZH-CN_TOPIC_0000001052264353__li4641112612506,403,,3
https://alliance-communityfile-drcn.dbankcdn.com/FileServer/getFile/cmtyPub/011/111/111/0000000000011111111.20260529160227.83475987105879287530980949117827:20260531100740:2800:09F663518A8A7DD876F7B41D51B048A360BDCAEEE1E98EE7D54960EDE84D9252.zip?needInitFileName=true,200,,1
https://alliance-communityfile-drcn.dbankcdn.com/FileServer/getFile/cmtyPub/011/111/111/0000000000011111111.20260529160227.67646665604198196400387954435265:20260531100740:2800:40FF32B985B1FC10D8390E63EB770BA314FA188C54921274A948B56D1FB2AFBE.zip?needInitFileName=true,200,,1
https://legal.cloud.huawei.com/legal/child/privacy-statement.htm?code=cn&language=zh-cn,200,,1
https://consumer.huawei.com/cn/legal/privacy-questions/,200,,34
https://consumer.huawei.com/en/legal/privacy-policy/worldwide,200,,14
https://ads-dra.cloud.huawei.com/ads/v1/tools/dpa/store/dimension\_values/query,404,,1
https://ads-drru.cloud.huawei.ru/ads/v1/tools/dpa/store/dimension\_values/query,404,,1
https://ads-dre.cloud.huawei.com/ads/v1/tools/dpa/store/dimension\_values/query,404,,1
https://connect-api.cloud.huawei.com/api/marketing-api/v2/material?customerId=\\{customerId\\,404,,1
https://connect-api.cloud.huawei.com/api/marketing-api/v2/material,404,,7
https://connect-api.cloud.huawei.com/api/marketing-api/v2/material/?customerId=200000111,404,,1
https://connect-api.cloud.huawei.com/api/marketing-api/v1/report/ad/subtask,404,,3
https://developer.huawei.com/consumer/cn/doc/development/AppGallery-connect-References/agcapi-obtain_token-0000001158365043,403,,8
https://developer.huawei.com/consumer/cn/doc/development/HMSCore-Guides/service-enabling-0000001050745155,403,,4
https://id.cloud.huawei.com/EAMPortal/portal/eam/index.html#/organization/orgList,200,,3
https://consumer-tkb.huawei.com/weknow/servlet/show/knowContextServlet?knowId=zh-cn15866659,200,,1
https://ads-dra.cloud.huawei.com/ads/v1/tools/dpa/product/templates/query,404,,1
https://ads-drru.cloud.huawei.ru/ads/v1/tools/dpa/product/templates/query,404,,1
https://ads-dre.cloud.huawei.com/ads/v1/tools/dpa/product/templates/query,404,,1
https://cs02-pps-drcn.dbankcdn.com/dl/pps/5af5e44504f143d2b524681024sample.jpg,403,,1
https://cs02-pps-drcn.dbankcdn.com/dl/pps/20201113160904B08A81FED76E739BC0475FC85Dsample.jpg,403,,1
https://developer.huawei.com/consumer/cn/doc/development/HMSCore-Guides/oaid-0000001050783198,403,,2
https://开头的落地页链,,connection_failed,2
https://developer.huawei.com/consumer/cn/doc/promotion/register-0000001052264353#ZH-CN_TOPIC_0000001052264353__section53595332114,403,,3
https://developer.huawei.com/consumer/cn/doc/promotion/register-0000001052264353#ZH-CN_TOPIC_0000001052264353__section579210538220,403,,4
https://developer.huawei.com/consumer/cn/doc/start/itrna-0000001076878172,403,,42
https://connect-api.cloud.huawei.com/api/marketing-api/v2/app/channel-pkg/\\{channelPkgId\\}?customerId=\\{customerId\\,404,,1
https://connect-api.cloud.huawei.com/api/marketing-api/v2/app/channel-pkg/401805407951678419,404,,2
https://developer.huawei.com/consumer/cn/devservice/doc/60504,403,,1
https://developer.huawei.com/consumer/cn/doc/development/AppGallery-connect-Guides/agc-giftpackage-introduction,403,,2
https://svc-drcn.ads.huawei.com/opendmp/v1/audience/query,403,,1
http://$\\{base\_address\\}\\}/opendmp/v1/audience/query,,RemoteProtocolError: Server disconnected without sending a response.,1
https://developer.huawei.com/consumer/cn/doc/promotion/register-0000001052264353#ZH-CN_TOPIC_0000001052264353__li2183192817543,403,,1
https://www.appsflyer.com/,200,,1
https://dev.appsflyer.com/hc/docs/install-android-sdk#huawei-install-referrer,200,,1
https://support.appsflyer.com/hc/zh-cn/articles/207032126-适用于开发人员的Android-SDK集,200,,2
https://support.appsflyer.com/hc/zh-cn/articles/360006278797,200,,2
https://alliance-communityfile-drcn.dbankcdn.com/FileServer/getFile/cmtyPub/011/111/111/0000000000011111111.20260513165910.02837067559583026381505073029481:20260531101614:2800:DACD9FDCF0972C7289C76A7BB5FBF9B02C9AC45C99309AD4739914340472F67C.pdf?needInitFileName=true,200,,1
https://developer.huawei.com/consumer/cn/doc/promotion/ads-bwgz-0000002505500133,403,,14
https://developer.huawei.com/consumer/cn/doc/promotion/ads_sanfangjiance-0000001055414456,403,,13
https://ads.cloud.huawei.com/ads/v1/tools/operation\_log/convert,404,,1
https://ads.cloud.huawei.com/openapi/v2/finance/consume/query,404,,1
https://contentcenter-vali-drcn.dbankcdn.cn/pvt_2/DeveloperAlliance_scene_100_1/ab/v3/dxetb828Qv-uaEd0oo50MA/note_3.0-zh-cn.png?HW-CC-KV=V1&HW-CC-Date=20260530T050413Z&HW-CC-Expire=86400&HW-CC-Sign=8C03024DA8C51EF1E2E5718D40124590BBD03768ABA31048F463F2E9D216FA19,403,,1
https://contentcenter-vali-drcn.dbankcdn.cn/pvt_2/DeveloperAlliance_scene_100_1/ad/v3/RrgVLbdhT0aHTsfaWXvvAg/zh-cn_image_0000001312783581.png?HW-CC-KV=V1&HW-CC-Date=20260530T050413Z&HW-CC-Expire=86400&HW-CC-Sign=2FB98B862F9A8F46FBA57CAB8B13CAB24FAA361A43AC6C68A7318FC7CE9B9D0B,403,,1
